Date	Type	Description	Check Number	Debit/Credit	Balance
09/25/2018	Other Credit	WEBSTER ONLINE TRANSFER DEPOSIT - TFR FR SV 00000080059758		$178.60	$585.19
09/25/2018	Other Debit	ACH WITHDRAWAL - Digit.co         Rainy Day  Zy-hf6xf1Nbkx-n                 		($2.52)	$582.67
09/25/2018	Check Withdrawal	CHECK NBR 1225	         1225	($173.35)	$409.32
09/26/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/25/18 - VZWRLSS*APOCC VISN 800-922-0204 FL		($190.10)	$219.22
09/26/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/25/18 - NETGEAR INC 408-890-3088 CA		($6.04)	$213.18
09/26/2018	Other Debit	ACH WITHDRAWAL - Digit.co         Rainy Day  W1I0ZgRfkVb1xIR                 		($1.85)	$211.33
09/27/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/27/18 - Amazon.com*MT49J2X Amzn.com/bil WA		($51.13)	$160.20
09/27/2018	Other Debit	ACH WITHDRAWAL - Digit.co         Rainy Day  Z1WwCzoQ1N-1gbw                 		($3.57)	$156.63
09/28/2018	Other Credit	FUNDING DEPOSIT - OVERDRAFT PROTECTION FROM 00000000080059758                 		$101.77	$258.40
09/28/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/28/18 - Kindle Unltd*MT0WI 866-321-8851 WA		($10.09)	$248.31
09/28/2018	Online Payment	WEBSTER ONLINE PAYMENT WITHDRAWAL - Northwestern Mutual Life Ins		($236.09)	$12.22
09/28/2018	Other Debit	ACH WITHDRAWAL - Acorns Investing Transfer   3YY2T6		($6.22)	$6.00
09/28/2018	Service Charge	OVERDRAFT TRANSFER FEE		($6.00)	$0.00
10/01/2018	Other Credit	FUNDING DEPOSIT - OVERDRAFT PROTECTION FROM 00000000080059758                 		$88.03	$88.03
10/01/2018	Other Credit	WEBSTER ONLINE TRANSFER DEPOSIT - TFR FR CK 0016317345		$123.00	$211.03
10/01/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/29/18 - CARVEL #1999 WATERTOWN CT		($16.30)	$194.73
10/01/2018	PIN Purchase	CHECK CARD PIN PURCHASE      09/29/18 - STOP & SHOP 0657 WATERTOWN CT		($48.33)	$146.40
10/01/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/30/18 - DUNKIN #300283 Q35 HAMDEN CT		($6.35)	$140.05
10/01/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/01/18 - Kindle Svcs*MT4IY9 866-321-8851 WA		($6.05)	$134.00
10/01/2018	Other Debit	ACH WITHDRAWAL - Acorns Investing Transfer   1LLJT6		($5.00)	$129.00
10/01/2018	Other Debit	ACH WITHDRAWAL - Subscription     Acorns     N7SRT6		($1.00)	$128.00
10/01/2018	Check Withdrawal	CHECK NBR 1220	         1220	($11.00)	$117.00
10/01/2018	Service Charge	OVERDRAFT TRANSFER FEE		($6.00)	$111.00
10/02/2018	Other Credit	ACH DEPOSIT - Digit.co         Bonus      ZJFcQb1uk4b1eKq                 		$1.01	$112.01
10/02/2018	Other Credit	FUNDING DEPOSIT - OVERDRAFT PROTECTION FROM 00000000080059758                 		$59.86	$171.87
10/02/2018	ATM Deposit	DEPOSIT AT ATM               10/02/18 - WEBSTER BANK N. A. MIDDLEBURY CT		$505.68	$677.55
10/02/2018	PIN Purchase	CHECK CARD PIN PURCHASE      10/02/18 - STOP & SHOP 0603 SEYMOUR CT		($25.13)	$652.42
10/02/2018	PIN Purchase	CHECK CARD PIN PURCHASE      10/02/18 - WALGREENS STORE 144 BA SEYMOUR CT		($26.70)	$625.72
10/02/2018	Other Debit	ACH WITHDRAWAL - ROBINHOOD (CRFN) ACH        XXXXX001060303                  		($50.00)	$575.72
10/02/2018	Other Debit	ACH WITHDRAWAL - Acorns Investing Transfer   CNR9W6		($5.04)	$570.68
10/02/2018	Service Charge	OVERDRAFT TRANSFER FEE		($6.00)	$564.68
10/03/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/01/18 - CLAUSS ORTHODONTIC 860-2746625 CT		($111.00)	$453.68
10/03/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/01/18 - SPREZZABOX HTTPSWWW.SPR NY		($28.00)	$425.68
10/03/2018	PIN Purchase	CHECK CARD PIN PURCHASE      10/03/18 - BJS WHOLESALE #0 344 R WATERBURY CT		($231.26)	$194.42
10/04/2018	Other Credit	ACH DEPOSIT - YNHHS HUMAN RESO PR PAYMENT 09XXXXX0139298                  		$1,436.31	$1,630.73
10/04/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/02/18 - MINUTECLINIC #2153 WATERBURY CT		($20.00)	$1,610.73
10/04/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/03/18 - Kindle Svcs*MT3PC2 866-321-8851 WA		($4.03)	$1,606.70
10/04/2018	Online Payment	WEBSTER ONLINE PAYMENT WITHDRAWAL - RBS NB MasterCard		($150.00)	$1,456.70
10/04/2018	Online Payment	WEBSTER ONLINE PAYMENT WITHDRAWAL - Chase MasterCard & VISA		($200.00)	$1,256.70
10/04/2018	Other Debit	ACH WITHDRAWAL - Digit.co         Rainy Day  -ygQvwvtk4-Jeg7                 		($0.18)	$1,256.52
10/05/2018	ATM Deposit	DEPOSIT AT ATM               10/05/18 - WEBSTER BANK N. A. MIDDLEBURY CT		$3,697.31	$4,953.83
10/05/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/04/18 - DUNKIN #348967 Q35 MIDDLEBURY CT		($7.87)	$4,945.96
10/05/2018	ATM Withdrawal	WITHDRAWAL AT ATM            10/05/18 - WEBSTER BANK N. A. MIDDLEBURY CT		($500.00)	$4,445.96
10/05/2018	PIN Purchase	CHECK CARD PIN PURCHASE      10/05/18 - STOP & SHOP 0657 WATERTOWN CT		($107.47)	$4,338.49
10/05/2018	PIN Purchase	CHECK CARD PIN PURCHASE      10/05/18 - STOP & SHOP 0657 WATERTOWN CT		($24.01)	$4,314.48
10/05/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/05/18 - Kindle Svcs*MT8SI4 866-321-8851 WA		($5.04)	$4,309.44
10/05/2018	Other Debit	WEBSTER ONLINE TRANSFER WITHDRAWAL - WOL XFER		($50.00)	$4,259.44
10/05/2018	Other Debit	WEBSTER ONLINE TRANSFER WITHDRAWAL - WOL XFER		($250.00)	$4,009.44
10/09/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/05/18 - REGIONAL SCHOOL DI MYSCHOOLBUCK CT		($87.49)	$3,921.95
10/09/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/06/18 - Amazon.com*MT7EX3D Amzn.com/bil WA		($29.57)	$3,892.38
10/09/2018	PIN Purchase	CHECK CARD PIN PURCHASE      10/06/18 - ACE HDWE WOODBURY CT		($31.98)	$3,860.40
10/09/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/06/18 - Prime Video*MT7SL2 888-802-3080 WA		($15.14)	$3,845.26
10/09/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE10/06/18 - Amazon.com*MT8ML7D Amzn.com/bil WA		($24.40)	$3,820.86
10/09/2018	PIN Purchase	CHECK CARD PIN PURCHASE      10/07/18 - LOFT 1405 WEST FARMS FARMINGTON CT		($20.38)	$3,800.48
